"","country","mean_gdp","se_gdp"
"1","Afghanistan",802.674598425,31.2354952294665
"2","Albania",3255.36663266667,344.202233449704
"3","Algeria",4426.02597316667,378.261899067288
"4","Angola",3607.10052883333,336.56641196184
"5","Argentina",8955.55378266667,537.68144192419
"6","Australia",19980.5956341667,2256.11315381007
"7","Austria",20411.9162793333,2787.23968308102
"8","Bahrain",18077.6639454167,1563.2951817387
"9","Bangladesh",817.558818216667,67.8616488849926
"10","Belgium",19900.7580716667,2422.32682564936
"11","Benin",1155.39510738333,46.113342972858
"12","Bolivia",2961.22875366667,151.481903233452
"13","Bosnia and Herzegovina",3484.7790694,563.067300984434
"14","Botswana",5031.50355716667,1206.12425721113
"15","Brazil",5829.31665275,703.343615412795
"16","Bulgaria",6384.055172,678.953414266906
"17","Burkina Faso",843.990664716667,52.9517050826374
"18","Burundi",471.6629897,28.6740201821882
"19","Cambodia",675.367824258333,103.996622020773
"20","Cameroon",1774.63422233333,121.125171259851
"21","Canada",22410.74634,2370.05541446597
"22","Central African Republic",958.784696983333,55.4120259160376
"23","Chad",1165.45367421667,66.5534981214702
"24","Chile",6703.28914708333,873.586966935101
"25","China",1488.30769398333,395.666318540554
"26","Colombia",4195.34291991667,477.160213319815
"27","Comoros",1314.38033868333,86.1217198114285
"28","Congo Dem. Rep.",648.34264595,74.4762911595905
"29","Congo Rep.",3312.78821516667,237.401600502915
"30","Costa Rica",5448.61077941667,582.700257013271
"31","Cote d'Ivoire",1912.82538225,120.197412542821
"32","Croatia",9331.71234591667,1092.4646801644
"33","Cuba",6283.25867833333,325.562352680106
"34","Czech Republic",13920.011379,1259.09896169205
"35","Denmark",21671.8248879167,2397.46947089503
"36","Djibouti",2697.83316216667,155.524634987615
"37","Dominican Republic",2844.85640491667,396.612566766537
"38","Ecuador",5733.62476675,414.292778161807
"39","Egypt",3074.03073141667,405.517416856677
"40","El Salvador",4431.84659733333,232.297082038114
"41","Equatorial Guinea",2469.16668093333,1058.0664636452
"42","Eritrea",541.002506666667,49.0849193419684
"43","Ethiopia",509.1151555,27.8362582088411
"44","Finland",17473.7226673333,2413.37339453845
"45","France",18833.5703270833,2281.46720420387
"46","Gabon",11529.8654744167,1415.96877186856
"47","Gambia",680.132585558333,34.3691756082883
"48","Germany",20556.68443275,2331.41599472421
"49","Ghana",1044.58204614167,42.0971534486319
"50","Greece",13969.0368329167,2104.42119062999
"51","Guatemala",4015.40277141667,286.428020969153
"52","Guinea",776.067304675,39.6093108511073
"53","Guinea-Bissau",652.1572081,49.0055157362923
"54","Haiti",1620.7392895,76.9172865262613
"55","Honduras",2834.41308316667,130.938973738119
"56","Hong Kong China",16228.70086475,3523.95255322011
"57","Hungary",10888.1756536667,1045.05652149506
"58","Iceland",20531.4222725,2705.82301969255
"59","India",1057.29630685,164.616481806777
"60","Indonesia",1741.36535954167,287.667910141887
"61","Iran",7376.5829055,852.799438096521
"62","Iraq",7811.80911666667,1198.07868274099
"63","Ireland",15758.60623775,3340.92711697238
"64","Israel",14160.9364340833,1992.36324394682
"65","Italy",16245.2090064167,2388.36041587258
"66","Jamaica",6197.645405,387.827066435109
"67","Japan",17750.8699841667,2924.74461495162
"68","Jordan",3128.12076166667,295.579140209286
"69","Kenya",1200.41571995,59.9127895875316
"70","Korea Dem. Rep.",2591.85257766667,354.061824195921
"71","Korea Rep.",8217.31848508333,2222.74185082624
